commune_depart_id;code_insee;commune_nom;groupe_commune;departement;pays;sources
INSEE_38184;38184;Grenay;CC Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38185;38185;Grenoble;Grenoble-Alpes-Métropole;38;France;rpc_arrivee, rpc_depart
INSEE_38189;38189;Heyrieux;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38190;38190;Hières-sur-Amby;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38193;38193;L'Isle-d'Abeau;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38197;38197;Janneyrias;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38199;38199;Jardin;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38210;38210;Leyrieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38215;38215;Luzinay;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38238;38238;Moidieu-Détourbe;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38239;38239;Moirans;Communauté d'agglomération du Pays Voironnais;38;France;rpc_arrivee, rpc_depart
INSEE_38247;38247;Montalieu-Vercieu;CC Les Balcons du Dauphiné;38;France;rpc_arrivee
INSEE_38261;38261;Morestel;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38276;38276;Nivolas-Vermelle;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38297;38297;Arandon-Passins;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38298;38298;Le Péage-de-Roussillon;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38316;38316;Pont-de-Chéruy;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38318;38318;Pont-Évêque;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38336;38336;Reventin-Vaugris;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38337;38337;Rives;Communauté d'agglomération du Pays Voironnais;38;France;rpc_arrivee, rpc_depart
INSEE_38339;38339;Roche;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38340;38340;Les Roches-de-Condrieu;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee
INSEE_38344;38344;Roussillon;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_depart
INSEE_38346;38346;Royas;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38348;38348;Ruy-Montceau;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38349;38349;Sablons;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_depart
INSEE_38352;38352;Saint-Alban-de-Roche;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38358;38358;Sainte-Anne-sur-Gervonde;CC Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38374;38374;Saint-Chef;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee
INSEE_38377;38377;Saint-Clair-de-la-Tour;Communauté de communes Les Vals du Dauphiné;38;France;rpc_depart
INSEE_38381;38381;Saint-Didier-de-la-Tour;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38384;38384;Saint-Étienne-de-Saint-Geoirs;Communauté de communes Bièvre Isère;38;France;rpc_arrivee
INSEE_38389;38389;Saint-Georges-d'Espéranche;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38399;38399;Saint-Jean-de-Bournay;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38400;38400;Saint-Jean-de-Moirans;Communauté d'agglomération du Pays Voironnais;38;France;rpc_arrivee, rpc_depart
INSEE_38401;38401;Saint-Jean-de-Soudain;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38408;38408;Saint-Just-Chaleyssin;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38415;38415;Saint-Marcel-Bel-Accueil;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38425;38425;Saint-Maurice-l'Exil;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38449;38449;Saint-Quentin-Fallavier;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38451;38451;Saint-Romain-de-Jalionas;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38455;38455;Saint-Savin;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38464;38464;Saint-Victor-de-Cessieu;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38465;38465;Saint-Victor-de-Morestel;CC Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38467;38467;Salagnon;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_depart
INSEE_38468;38468;Salaise-sur-Sanne;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38475;38475;Satolas-et-Bonce;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38480;38480;Septème;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38481;38481;Sérézin-de-la-Tour;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38484;38484;Serpaize;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38487;38487;Seyssuel;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38507;38507;Tignieu-Jameyzieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38509;38509;La Tour-du-Pin;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38515;38515;Trept;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38519;38519;Valencin;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38530;38530;Vaulx-Milieu;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38537;38537;La Verpillière;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38540;38540;Veurey-Voroize;Grenoble-Alpes-Métropole;38;France;rpc_arrivee, rpc_depart
INSEE_38544;38544;Vienne;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38553;38553;Villefontaine;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38554;38554;Villemoirieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38555;38555;Villeneuve-de-Marc;Communauté de communes Bièvre Isère;38;France;rpc_depart
INSEE_38557;38557;Villette-d'Anthon;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38558;38558;Villette-de-Vienne;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38563;38563;Voiron;Communauté d'agglomération du Pays Voironnais;38;France;rpc_arrivee, rpc_depart
INSEE_38565;38565;Voreppe;Communauté d'agglomération du Pays Voironnais;38;France;rpc_arrivee, rpc_depart
INSEE_39333;39333;Moirans-en-Montagne;Communauté de communes Terre d'Émeraude Communauté;39;France;rpc_depart
INSEE_42005;42005;Andrézieux-Bouthéon;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42011;42011;Balbigny;Communauté de communes de Forez-Est;42;France;rpc_arrivee, rpc_depart
INSEE_42095;42095;Firminy;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42103;42103;La Grand-Croix;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
INSEE_42110;42110;L'Horme;Saint-Etienne Métropole;42;France;rpc_arrivee, rpc_depart
