commune_id;code_insee;commune_nom;groupe_commune;departement;pays;sources;region_libelle;departement_libelle;arrondissement_libelle;commune_libelle_insee;latitude;longitude;localisation_azure
INSEE_01260;01260;Le Montellier;Communauté de communes de la Plaine de l'Ain;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Montellier;45.928396356390564;5.069873923475088;LE MONTELLIER, France
INSEE_01262;01262;Montluel;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Montluel;45.886764314946085;5.018484586994553;MONTLUEL, France
INSEE_01269;01269;Nantua;CA Haut - Bugey Agglomération;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Nantua;46.148586115093835;5.607937178207116;NANTUA, France
INSEE_01276;01276;Niévroz;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Niévroz;45.82409277951673;5.061534439626275;NIEVROZ, France
INSEE_01283;01283;Oyonnax;Communauté d'agglomération Haut - Bugey Agglomération;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Oyonnax;46.2599075662273;5.651747163051233;OYONNAX, France
INSEE_01290;01290;Pérouges;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Pérouges;45.87885334108958;5.179137825021762;PEROUGES, France
INSEE_01304;01304;Pont-d'Ain;Communauté de communes Rives de l'Ain - Pays du Cerdon;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Pont-d'Ain;46.055613484877156;5.3491385562601765;PONT D AIN, France
INSEE_01318;01318;Rancé;Communauté de communes Dombes Saône Vallée;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Rancé;45.967414930763944;4.866520367762621;RANCE, France
INSEE_01322;01322;Reyrieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Reyrieux;45.936784425299486;4.831411027689464;REYRIEUX, France
INSEE_01333;01333;Saint-André-de-Corcy;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-André-de-Corcy;45.9287415329929;4.952895926987345;ST ANDRE DE CORCY, France
INSEE_01339;01339;Saint-Bernard;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-Bernard;45.949966474507924;4.741943927686423;ST BERNARD, France
INSEE_01347;01347;Saint-Didier-de-Formans;CC Dombes Saône Vallée;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-Didier-de-Formans;45.958690412442394;4.776700584090259;ST DIDIER DE FORMANS, France
INSEE_01353;01353;Sainte-Euphémie;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Sainte-Euphémie;45.965090621400016;4.792748415274786;STE EUPHEMIE, France
INSEE_01361;01361;Saint-Jean-de-Niost;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Saint-Jean-de-Niost;45.838407432234504;5.206646721726953;ST JEAN DE NIOST, France
INSEE_01363;01363;Saint-Jean-le-Vieux;Communauté de communes Rives de l'Ain - Pays du Cerdon;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Saint-Jean-le-Vieux;46.02798145720679;5.37992083677886;ST JEAN LE VIEUX, France
INSEE_01366;01366;Sainte-Julie;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Sainte-Julie;45.88017909226501;5.283715756455173;STE JULIE, France
INSEE_01371;01371;Saint-Marcel;Communauté de communes de la Dombes;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-Marcel;45.94846404951603;4.986202620373653;ST MARCEL, France
INSEE_01373;01373;Saint-Martin-du-Frêne;CA Haut - Bugey Agglomération;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Nantua;Saint-Martin-du-Frêne;46.13452483715552;5.57108676586148;ST MARTIN DU FRENE, France
INSEE_01374;01374;Saint-Martin-du-Mont;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-Martin-du-Mont;46.10625394692748;5.329960131380074;ST MARTIN DU MONT, France
INSEE_01376;01376;Saint-Maurice-de-Beynost;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Saint-Maurice-de-Beynost;45.83246047334352;4.976324295174772;ST MAURICE DE BEYNOST, France
INSEE_01378;01378;Saint-Maurice-de-Gourdans;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Saint-Maurice-de-Gourdans;45.81898409034392;5.171999869372512;ST MAURICE DE GOURDANS, France
