station_taxi_id;commune_id;fid;gid;nom;adresse;commune;code_insee;nb_emplacements;telephone_flag;separateur_taxi;abri_flag;panneau_flag;diodes_flag;totem_flag;observation;validite;longitude;latitude;geometrie_wkt
TAXI_1292;INSEE_69040;pvo_patrimoine_voirie.pvostationtaxi.1292;1292;TAXCHP01;99 Av lanessan;Champagne-au-Mont-d'Or;69040;7;0;Peinture;0;1;0;0;Station déplacée. Anciennement parking Kennedy;En projet ou en cours de validation;4,790113281091947;45,79716726247658;POINT (4.790113281091947 45.79716726247658)
TAXI_961;INSEE_69386;pvo_patrimoine_voirie.pvostationtaxi.961;961;TAX601;Place Jules Ferry;Lyon 6e Arrondissement;69386;9;0;Peinture;0;1;0;1;Station Jules Ferry;Validé;4,859367603337556;45,76645148833377;POINT (4.859367603337556 45.76645148833377)
TAXI_974;INSEE_69387;pvo_patrimoine_voirie.pvostationtaxi.974;974;TAX704;256, Rue Marcel Mérieux;Lyon 7e Arrondissement;69387;6;0;Peinture;0;1;0;0;Station Stade de Gerland;Validé;4,830401193390305;45,727003784438274;POINT (4.830401193390305 45.727003784438274)
TAXI_972;INSEE_69387;pvo_patrimoine_voirie.pvostationtaxi.972;972;TAX708;Place Emir Abd El Kader;Lyon 7e Arrondissement;69387;4;0;Bordure granit;0;0;0;1;Station Jean Jaurès;Validé;4,8463552884389225;45,752275163243006;POINT (4.8463552884389225 45.752275163243006)
TAXI_333;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.333;333;TAX201;20, Quai Docteur Gailleton;Lyon 2e Arrondissement;69382;6;0;Bordure granit;0;1;0;1;Station Quai Gailleton;Validé;4,834373237562323;45,75437065214612;POINT (4.834373237562323 45.75437065214612)
TAXI_1283;INSEE_69029;pvo_patrimoine_voirie.pvostationtaxi.1283;1283;TAXBRO06;260, Avenue Jean Monnet;Bron;69029;4;0;Bordure granit;0;1;0;1;Novotel;Validé;4,928804400259431;45,72514348378085;POINT (4.928804400259431 45.72514348378085)
TAXI_4019;INSEE_69072;pvo_patrimoine_voirie.pvostationtaxi.4019;4019;TAXDAR01;Place de la Porte de Lyon;Dardilly;69072;2;0;Autre;0;0;0;0;;Validé;4,761104113965392;45,82047017084143;POINT (4.761104113965392 45.82047017084143)
TAXI_4035;INSEE_69040;pvo_patrimoine_voirie.pvostationtaxi.4035;4035;TAXCHP02;Face 35b, Chemin du Coulouvrier;Champagne-au-Mont-d'Or;69040;6;0;Peinture;0;1;0;0;Parking des Sportifs;Validé;4,780951105422838;45,79509534753639;POINT (4.780951105422838 45.79509534753639)
TAXI_966;INSEE_69386;pvo_patrimoine_voirie.pvostationtaxi.966;966;TAX600;50, Quai Charles de Gaulle;Lyon 6e Arrondissement;69386;6;0;Peinture;0;1;0;0;Station Palais des Congrès;Validé;4,854360343158045;45,78568192924303;POINT (4.854360343158045 45.78568192924303)
TAXI_4004;INSEE_69387;pvo_patrimoine_voirie.pvostationtaxi.4004;4004;TAX709;Quai Claude Bernard;Lyon 7e Arrondissement;69387;4;0;Peinture;0;0;0;1;Berges du Rhône;Validé;4,839892882512694;45,755704580191306;POINT (4.839892882512694 45.755704580191306)
TAXI_4011;INSEE_69273;pvo_patrimoine_voirie.pvostationtaxi.4011;4011;TAXCOR01;74, Rue Centrale;Corbas;69273;1;0;Peinture;0;1;0;0;;Validé;4,898513205256187;45,6718190471048;POINT (4.898513205256187 45.6718190471048)
TAXI_354;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.354;354;TAX311;107, Cours Albert Thomas;Lyon 3e Arrondissement;69383;4;0;Bordure granit;0;1;1;1;Station Ambroise Courtois;Validé;4,871626180806928;45,74549122135974;POINT (4.871626180806928 45.74549122135974)
