date_arrivee_id;date;annee;trimestre;mois_numero;mois_libelle;jour_mois;jour_semaine_id;jour_semaine_libelle;ordre_jour;weekend_flag
20260303;2026-03-03;2026;1;3;Mars;3;2;Mardi;2;0
20260304;2026-03-04;2026;1;3;Mars;4;3;Mercredi;3;0
20260305;2026-03-05;2026;1;3;Mars;5;4;Jeudi;4;0
20260306;2026-03-06;2026;1;3;Mars;6;5;Vendredi;5;0
20260307;2026-03-07;2026;1;3;Mars;7;6;Samedi;6;1
20260308;2026-03-08;2026;1;3;Mars;8;7;Dimanche;7;1
20260309;2026-03-09;2026;1;3;Mars;9;1;Lundi;1;0
20260310;2026-03-10;2026;1;3;Mars;10;2;Mardi;2;0
20260311;2026-03-11;2026;1;3;Mars;11;3;Mercredi;3;0
20260312;2026-03-12;2026;1;3;Mars;12;4;Jeudi;4;0
20260313;2026-03-13;2026;1;3;Mars;13;5;Vendredi;5;0
20260314;2026-03-14;2026;1;3;Mars;14;6;Samedi;6;1
20260315;2026-03-15;2026;1;3;Mars;15;7;Dimanche;7;1
20260316;2026-03-16;2026;1;3;Mars;16;1;Lundi;1;0
20260317;2026-03-17;2026;1;3;Mars;17;2;Mardi;2;0
20260318;2026-03-18;2026;1;3;Mars;18;3;Mercredi;3;0
20260319;2026-03-19;2026;1;3;Mars;19;4;Jeudi;4;0
20260320;2026-03-20;2026;1;3;Mars;20;5;Vendredi;5;0
20260321;2026-03-21;2026;1;3;Mars;21;6;Samedi;6;1
20260322;2026-03-22;2026;1;3;Mars;22;7;Dimanche;7;1
20260323;2026-03-23;2026;1;3;Mars;23;1;Lundi;1;0
20260324;2026-03-24;2026;1;3;Mars;24;2;Mardi;2;0
20260325;2026-03-25;2026;1;3;Mars;25;3;Mercredi;3;0
20260326;2026-03-26;2026;1;3;Mars;26;4;Jeudi;4;0
20260327;2026-03-27;2026;1;3;Mars;27;5;Vendredi;5;0
20260328;2026-03-28;2026;1;3;Mars;28;6;Samedi;6;1
20260329;2026-03-29;2026;1;3;Mars;29;7;Dimanche;7;1
20260330;2026-03-30;2026;1;3;Mars;30;1;Lundi;1;0
20260331;2026-03-31;2026;1;3;Mars;31;2;Mardi;2;0
20260401;2026-04-01;2026;2;4;Avril;1;3;Mercredi;3;0
